Tectonic regime,Period,Lithology,Structural setting,Hydrocarbon type,Gross,Netpay,Porosity,Permeability,Depth
4,17,11,4,5,1,1,2,3,0
4,21,11,8,2,3,4,1,0,3
3,12,15,7,5,3,4,3,3,4
0,15,13,11,5,3,3,4,4,0
0,21,6,2,5,0,0,0,0,1
0,7,11,2,5,0,0,4,4,1
0,7,11,2,5,0,0,0,3,2
5,9,6,3,5,0,0,0,0,0
0,17,11,10,5,2,3,0,2,4
0,15,11,11,5,3,3,4,4,0
4,8,1,7,5,3,3,4,0,2
4,7,15,4,5,3,2,4,4,0
2,8,9,6,5,3,3,3,1,1
3,15,11,1,5,0,1,4,4,3
3,15,11,1,5,1,2,4,4,3
8,17,16,3,5,0,2,0,0,0
0,7,11,3,2,3,2,3,3,2
0,15,11,10,5,4,2,2,1,3
7,15,11,11,2,3,4,4,2,1
0,12,11,2,2,0,1,3,3,1
2,12,11,5,5,0,1,3,4,1
0,12,9,7,5,0,0,2,1,1
0,12,9,7,5,1,2,3,2,2
0,12,9,7,5,1,2,2,1,2
0,21,6,2,5,2,2,1,1,1
4,15,11,4,5,2,3,4,4,0
4,15,11,4,5,1,1,4,4,0
0,15,11,10,5,4,3,2,2,4
0,9,6,2,2,0,1,0,0,3
3,7,11,5,5,0,1,4,4,1
4,8,1,7,5,3,4,4,0,3
4,8,1,7,3,3,4,4,0,4
0,26,11,8,5,2,3,2,3,3
4,21,11,2,5,0,0,4,3,0
0,17,11,10,5,4,4,2,3,4
0,4,6,10,5,3,3,1,1,1
0,4,11,10,5,2,2,2,2,1
0,9,11,2,2,0,0,0,1,1
0,4,6,3,5,0,1,2,1,3
0,4,13,2,2,1,0,1,0,2
0,21,6,2,5,2,1,0,0,1
0,21,6,2,5,2,3,0,2,2
5,15,11,11,5,3,3,3,2,2
4,12,11,6,3,0,1,3,1,4
4,12,11,6,3,3,3,2,1,4
4,12,13,6,3,1,3,3,1,4
2,7,11,8,5,0,1,4,4,2
2,17,11,6,3,0,1,3,1,3
3,7,9,7,5,1,1,1,1,4
4,7,11,4,5,1,2,3,4,3
0,21,11,2,5,0,0,3,1,0
4,12,11,7,3,4,4,2,1,4
0,21,6,2,5,4,3,0,0,2
4,7,11,4,5,2,0,3,3,0
0,15,11,2,5,4,3,3,2,3
3,7,9,7,5,2,3,2,3,4
0,7,11,2,5,2,0,1,1,1
0,7,11,2,5,2,0,1,2,2
0,17,11,10,5,3,2,1,2,4
0,15,11,10,5,4,2,2,2,1
3,15,11,1,5,2,3,4,4,3
4,12,11,3,5,3,1,2,4,1
0,4,9,3,5,0,0,2,1,1
0,9,9,2,5,3,4,0,2,1
4,26,11,6,2,4,3,2,4,4
0,15,11,10,5,4,4,3,2,1
0,7,10,2,5,4,4,3,4,1
4,7,11,6,5,1,1,2,1,3
2,17,14,6,5,2,1,3,4,3
2,15,11,6,5,3,2,4,4,1
2,12,11,6,5,4,4,4,4,1
2,27,11,6,5,3,4,4,4,2
4,17,11,4,5,3,2,3,4,2
4,15,11,4,5,4,4,2,3,0
0,4,6,2,3,1,1,1,2,3
3,12,11,7,3,2,3,0,0,4
0,21,11,2,5,1,0,1,1,4
3,7,11,7,5,3,4,4,4,1
2,12,11,6,5,1,2,0,1,3
2,17,9,5,5,1,2,1,0,1
2,12,11,6,5,1,3,4,4,2
0,7,11,2,3,2,0,1,2,4
2,7,11,6,5,4,2,3,3,2
2,7,11,6,5,3,2,2,4,4
0,13,11,10,3,3,3,0,2,4
0,7,11,2,3,0,1,1,0,1
0,7,11,2,5,0,0,1,1,3
2,17,11,6,5,3,2,4,4,0
0,21,6,2,2,1,1,1,0,0
5,15,15,11,5,3,3,4,4,0
5,15,15,11,5,3,4,4,3,0
2,12,11,6,5,2,3,2,2,4
0,7,11,10,5,2,4,1,4,1
3,7,2,7,5,2,3,4,0,1
4,21,11,8,2,1,3,2,1,3
3,12,6,8,5,2,2,1,2,4
0,16,6,2,2,1,1,0,0,4
0,7,11,2,5,1,0,1,3,1
0,9,9,2,5,1,1,0,2,3
2,3,11,6,5,4,4,3,2,3
0,4,6,9,2,2,3,0,0,3
0,4,6,9,2,3,2,0,0,4
4,17,11,6,5,3,0,4,4,0
0,11,9,8,3,4,4,0,1,4
0,7,11,11,5,1,1,4,3,0
0,15,9,2,5,3,2,3,2,0
4,7,11,6,2,1,1,1,1,3
3,17,11,1,3,4,4,4,3,2
0,9,9,2,5,2,1,0,1,3
0,26,4,10,5,3,1,2,3,2
0,21,9,2,5,1,1,0,1,4
4,17,11,4,5,4,0,3,2,0
4,18,11,4,5,4,3,3,3,0
0,7,11,2,5,3,4,4,4,1
4,7,9,2,5,3,3,3,1,2
2,7,10,5,5,0,1,3,2,2
3,15,11,1,5,4,4,3,3,1
0,7,13,2,5,0,0,0,1,3
0,4,11,2,5,0,0,3,3,2
0,4,9,2,2,2,2,0,3,1
0,6,9,8,5,4,4,0,0,4
4,15,11,4,5,2,3,2,3,1
0,23,11,3,2,1,1,2,0,1
0,4,11,2,5,0,1,3,3,1
0,4,9,2,5,2,2,2,3,1
0,7,10,2,5,0,0,3,2,2
3,7,11,5,5,2,0,0,0,3
2,17,11,5,5,4,1,3,3,1
3,17,11,1,2,2,1,1,0,4
5,15,11,11,5,0,0,4,3,2
4,17,11,6,5,1,0,4,4,0
0,17,11,10,5,1,1,3,3,0
0,17,11,10,5,1,1,3,4,0
0,17,11,10,5,1,2,2,1,0
3,4,6,3,5,2,3,0,1,2
0,7,11,2,5,0,0,3,4,1
0,4,6,3,5,3,0,1,1,3
0,21,6,2,5,0,1,2,0,2
2,23,6,6,5,3,4,0,0,4
2,15,9,5,5,4,2,4,4,0
0,7,11,2,5,0,0,4,4,0
0,7,11,2,5,0,1,4,4,0
3,15,11,1,5,3,3,3,4,3
3,17,11,1,5,1,0,3,2,4
0,7,11,2,5,2,0,1,2,4
0,12,11,3,5,2,3,2,1,3
0,21,6,2,5,2,1,0,1,1
3,15,10,1,5,4,4,4,4,4
0,12,11,2,5,4,0,2,2,1
0,7,2,2,5,2,3,1,0,4
0,7,2,2,5,3,4,0,0,4
0,23,11,6,3,1,0,0,3,3
3,18,11,7,5,1,3,4,4,2
6,12,11,5,2,4,0,3,2,2
0,26,6,10,2,4,4,0,0,4
2,17,11,6,5,3,2,1,1,4
3,12,6,7,5,0,1,4,4,2
3,12,9,7,5,1,2,4,3,2
3,17,11,1,2,2,3,2,0,3
4,17,4,4,5,3,4,1,2,3
0,21,6,2,5,2,2,0,0,0
0,21,6,2,5,1,3,0,1,1
0,7,14,3,2,0,0,3,0,0
0,12,11,2,5,0,1,1,2,2
0,15,15,2,5,4,2,4,4,0
0,7,11,3,4,4,1,4,2,0
0,4,6,3,5,0,0,3,0,1
2,12,11,6,2,3,4,4,4,2
0,7,14,3,2,2,0,1,0,0
0,25,6,10,2,4,2,0,1,4
4,15,11,4,5,3,3,4,3,0
4,7,2,6,3,1,1,1,0,4
4,7,9,6,2,0,2,1,0,4
4,7,2,6,2,1,0,1,0,4
0,9,11,2,5,0,0,1,3,2
0,7,11,2,2,4,2,1,0,2
0,7,11,3,5,4,2,2,2,3
2,12,11,6,5,2,4,3,4,3
2,17,9,6,5,2,2,3,4,2
0,7,2,7,5,4,4,2,0,0
2,15,9,0,1,4,4,2,2,3
0,4,7,3,5,1,0,0,0,1
0,26,11,3,5,1,0,1,1,1
5,25,7,3,5,2,2,0,1,0
2,12,11,6,5,2,3,3,3,3
0,9,11,2,5,0,0,1,3,2
0,21,9,2,5,1,1,0,2,3
4,4,11,2,5,0,1,2,2,0
3,12,9,7,5,2,1,1,2,4
0,21,6,2,5,4,4,0,0,2
3,17,13,1,3,2,2,4,3,4
0,21,14,2,5,2,2,1,1,0
0,9,6,2,2,2,1,2,1,3
3,7,11,5,5,3,3,3,3,0
2,20,11,8,5,4,4,2,3,4
5,15,11,4,5,4,3,3,2,1
0,6,9,8,2,4,4,1,0,1
2,7,11,6,5,1,2,2,3,2
4,8,11,4,2,2,2,4,4,2
0,15,11,10,5,2,3,1,2,4
0,8,11,10,5,4,4,0,0,4
0,16,11,3,2,4,3,0,0,2
3,7,9,7,5,3,4,4,4,2
0,7,6,2,5,4,3,1,1,2
0,7,11,2,5,0,0,3,2,1
0,7,11,2,0,0,2,4,3,0
0,21,11,2,2,2,0,1,0,0
0,26,11,2,5,0,0,1,2,1
0,7,11,2,5,0,0,1,1,1
5,15,11,10,5,4,4,4,2,0
0,21,6,2,5,2,2,1,0,0
0,7,11,3,5,0,0,3,2,3
0,7,11,3,5,0,0,3,3,3
0,7,11,3,5,0,0,3,2,2
3,17,13,1,3,2,0,4,3,4
0,7,11,3,5,4,3,2,0,3
0,6,9,4,5,3,3,2,2,3
0,7,10,2,5,0,0,4,3,0
4,7,10,4,5,1,1,2,4,3
0,12,9,2,5,0,2,2,3,2
0,12,9,2,5,0,2,2,3,2
0,15,11,2,5,4,3,3,3,0
3,7,11,7,5,2,1,3,4,2
0,9,9,2,5,3,4,1,2,2
4,15,9,0,5,3,2,3,1,0
2,19,11,8,5,4,4,2,2,4
0,7,9,10,5,1,2,1,1,1
4,15,9,4,5,1,1,2,4,0
0,6,11,10,5,3,3,1,1,2
2,5,11,8,5,4,4,1,2,4
0,21,11,2,5,0,1,1,2,3
0,9,9,2,5,3,2,0,2,0
0,1,11,3,5,4,4,0,0,3
3,6,11,7,5,2,2,4,3,0
3,17,11,1,5,4,3,4,2,1
0,9,11,2,5,1,0,2,3,2
3,7,11,7,5,3,4,4,4,1
0,9,6,2,2,1,1,0,3,4
0,21,11,2,5,0,0,1,2,4
4,7,10,4,5,2,1,2,3,3
0,2,11,7,3,3,4,0,1,4
0,7,2,7,5,1,2,4,1,1
0,7,11,2,5,0,1,2,2,0
3,15,11,1,5,4,4,3,3,0
4,17,11,6,5,2,0,4,4,1
4,17,11,6,5,1,1,4,4,0
2,7,15,6,5,2,2,3,3,3
4,7,11,4,5,0,1,4,4,0
2,12,11,6,5,2,4,2,2,4
4,15,11,0,5,3,3,4,4,2
0,12,11,2,5,4,1,1,1,3
0,7,11,2,2,1,1,3,3,4
0,7,11,2,2,1,2,3,3,4
5,15,11,11,5,4,3,3,2,1
0,21,6,2,5,4,1,1,1,1
4,17,11,4,3,3,4,3,4,1
0,9,9,2,5,1,1,0,2,3
0,15,5,10,5,4,4,4,0,0
0,21,6,2,5,2,2,0,1,1
3,15,11,1,5,3,2,4,3,4
2,12,11,6,5,3,4,4,4,2
0,9,6,2,2,4,4,0,1,4
0,7,11,2,5,0,1,4,4,0
2,17,11,6,5,4,3,4,4,1
2,7,9,5,5,0,0,2,2,4
2,12,11,11,3,3,4,1,1,2
0,7,11,2,5,1,0,2,4,0
0,7,11,2,5,1,1,4,4,0
4,17,11,1,2,4,4,2,2,3
3,7,11,5,5,3,3,4,4,0
3,7,11,7,5,2,1,4,4,1
0,12,11,3,5,0,1,2,3,3
2,9,6,2,5,3,2,0,0,2
3,12,2,7,2,2,1,0,0,4
5,15,11,11,3,2,2,3,3,4
4,12,11,6,5,2,3,3,3,2
2,12,11,6,5,3,4,3,4,3
0,9,3,2,5,1,1,2,0,3
0,15,11,11,5,3,2,4,4,0
0,4,6,3,5,0,1,1,0,2
4,6,11,3,5,1,1,1,0,3
6,26,11,5,2,4,2,2,1,3
3,8,1,7,3,3,4,3,0,3
3,8,1,7,5,3,4,3,0,3
4,7,8,6,2,0,0,4,4,0
0,4,6,9,5,3,4,0,1,0
4,12,6,4,2,0,1,2,2,2
4,12,6,4,2,1,0,1,1,2
4,12,11,7,5,2,4,2,3,4
0,22,6,2,5,2,0,1,1,2
0,7,11,3,2,3,4,4,3,1
4,12,11,4,5,4,4,3,3,1
0,21,6,2,5,2,3,1,1,1
4,7,1,4,5,2,3,4,0,2
4,7,1,4,5,3,4,4,0,3
0,7,11,2,5,0,0,3,3,0
0,7,11,3,5,4,4,3,3,2
3,13,11,5,2,4,4,1,1,4
4,24,6,4,5,0,0,1,2,1
4,23,11,4,5,1,0,0,3,1
0,25,6,2,2,1,1,0,0,4
2,12,11,6,5,2,4,2,4,3
4,21,11,8,2,2,4,2,2,3
0,4,9,2,5,1,0,3,2,1
2,12,9,3,5,0,1,1,1,2
0,4,9,3,5,2,0,0,2,0
0,7,9,2,5,3,3,3,2,2
4,7,10,6,5,1,2,4,4,0
2,17,11,6,5,4,0,2,3,0
2,0,0,6,5,3,3,0,1,1
0,21,14,2,3,0,0,0,0,4
0,10,6,9,3,4,3,0,0,3
3,15,11,7,5,1,3,4,4,4
0,23,6,2,2,4,2,0,0,3
0,7,11,2,5,0,0,1,0,2
0,26,11,2,5,0,0,0,2,2
2,17,11,6,5,4,3,4,3,1
0,4,4,2,2,0,0,1,0,4
0,9,6,2,5,1,3,1,4,3
0,21,6,2,5,3,1,0,1,1
0,9,9,4,5,4,3,1,3,1
0,4,7,3,5,0,0,0,0,0
0,26,11,3,5,0,0,1,1,0
0,4,6,3,5,0,0,2,1,1
2,7,11,6,5,4,4,2,2,3
0,4,6,9,3,3,3,0,0,4
0,2,6,10,2,4,3,0,0,4
0,4,6,10,2,0,0,0,0,4
0,4,6,10,2,0,2,0,0,4
4,26,11,6,5,3,3,2,2,1
2,17,11,6,5,4,2,2,2,3
2,17,11,6,5,4,1,2,4,2
2,17,11,6,2,3,4,1,3,4
0,7,11,10,5,3,2,0,0,4
4,15,11,4,5,4,4,4,3,0
0,7,11,3,2,4,3,4,3,1
2,15,11,6,5,4,1,4,4,1
2,23,6,6,5,4,3,0,0,3
0,9,11,4,5,0,1,3,4,0
0,21,6,2,5,1,3,2,2,1
0,21,6,7,5,3,3,2,0,3
0,7,1,7,5,2,4,4,0,1
2,16,6,6,5,3,2,0,1,2
0,15,15,11,5,1,3,3,2,4
3,15,11,1,5,1,2,4,4,1
3,7,9,7,5,1,3,4,1,2
3,7,9,7,5,3,2,3,1,2
3,7,9,7,5,1,2,4,2,3
2,17,11,6,5,1,1,4,4,1
2,17,11,6,5,1,1,3,2,1
2,14,16,6,5,3,3,1,0,4
0,4,11,2,5,2,0,3,1,0
0,4,11,2,5,1,1,4,4,0
